n;empresa;score;email;estado;fuente;conflicto_csv_base;email_base;telefono;resenas;ciudad;web;url_contacto;demo_url;slug;lead_id
16;Gabi Reformas;7.5;info@gabireformas.com;ok;csv;;;+34 617 03 15 20;26;;https://gabireformas.com;https://gabireformas.com/contacto/;https://presupuestos.nico-soto.es/demo/gabi-reformas;gabi-reformas;104c7b1c-15bd-43a2-a9b0-98efc843d106
17;Reformas Bailén;7.5;jbailenvillanueva.jlb@gmail.com;personal;csv;;;+34 615 53 99 12;26;;http://www.reformasbailen.es;http://www.reformasbailen.es/contacto;https://presupuestos.nico-soto.es/demo/reformas-bailen;reformas-bailen;815cac8e-a94c-418e-9201-61a934d01a28
18;Grupo G Reformas;7.5;reformasgrupog@gmail.com;personal;csv;;;+34 614 12 16 87;24;;https://grupogreformas.es;https://grupogreformas.es;https://presupuestos.nico-soto.es/demo/grupo-g-reformas;grupo-g-reformas;ef70ef95-203c-4aa0-838a-dd07c309ac2d
19;Azahar Reformas Valencia;7.5;hola@azaharreformasvalencia.com;ok;csv;;;+34 960 38 21 31;23;;https://azaharreformasvalencia.com;https://azaharreformasvalencia.com/contacto/;https://presupuestos.nico-soto.es/demo/azahar-reformas;azahar-reformas;5934ae89-b518-474b-9bbd-8bf0c711f580
20;Todo Reformas Valencia;7.5;contacto@todoreformasvalencia.com;ok;csv;;;+34 664 09 63 46;21;;https://www.todoreformasvalencia.com;https://www.todoreformasvalencia.com/contacto;https://presupuestos.nico-soto.es/demo/todo-reformas-valencia;todo-reformas-valencia;4623cb24-817b-4f3d-bb1b-508868009ff3
21;Reformas Orcu;7.5;reformasorcu@gmail.com;personal;csv;;;+34 633 47 00 27;19;;http://reformasorcuhogar.com;https://reformasorcuhogar.com/contacto/;https://presupuestos.nico-soto.es/demo/reformas-orcu;reformas-orcu;bc14ac7b-c043-49ab-932c-803b1def7c15
22;OBRAS VIP;7.5;info@obrasvip.com;ok;csv;;;+34 644 70 76 00;17;;https://www.obrasvip.com;https://www.obrasvip.com/solicita-un-presupuesto.html;https://presupuestos.nico-soto.es/demo/obras-vip;obras-vip;ca85fdf2-fac2-40c2-8eab-d8aa891e7a62
23;BONO PROYECTOS;7.0;info@bonoporyectos.com;REVISAR-dominio;csv;si;administracion@bonoproyectos.com;+34 685 07 89 67;40;;http://www.bonoproyectos.es;https://bonoproyectos.es/contacto/;https://presupuestos.nico-soto.es/demo/bono-proyectos;bono-proyectos;8b140233-5038-4ac7-8913-73e5139b300d
24;VGA Proyectos y Reformas;7.0;info@vgareformas.es;ok;csv;;;+34 677 41 43 66;24;;https://vgareformas.es;https://vgareformas.es;https://presupuestos.nico-soto.es/demo/vga-reformas;vga-reformas;683b9b00-8813-4ab4-805c-40b5335d0144
25;REFORMSPEED;7.0;;FALTA;;;;+34 631 02 90 72;24;;https://reformspeed.es;https://reformspeed.es/solicitar-presupuesto/;https://presupuestos.nico-soto.es/demo/reformspeed;reformspeed;22698503-fbd0-4332-948b-ea06216e249f
26;Valltro · Grupo Expovall;7.0;presupuestos@grupoexpovall.com;ok;csv;;;+34 613 41 66 20;23;;https://grupoexpovall.com;https://grupoexpovall.com/contacto/;https://presupuestos.nico-soto.es/demo/grupo-expovall;grupo-expovall;09818942-3fed-4fea-b5c7-c4d882856824
27;Reformas Cecever;7.0;info@cecever.com;ok;csv;;;+34 624 53 67 23;21;;https://www.cecever.com;https://www.cecever.com/contacto;https://presupuestos.nico-soto.es/demo/cecever;cecever;7634e95d-3f1c-4969-8319-91e745360883
28;Reformas Ferreira;7.0;reformasferreira2005@gmail.com;personal;csv;;;+34 657 30 58 10;18;;http://www.reformasferreira.es;http://www.reformasferreira.es;https://presupuestos.nico-soto.es/demo/reformas-ferreira;reformas-ferreira;45e270a8-96f8-4f8a-a106-1ce72eb61245
29;Dekorinex;7.0;info@dekorinex.es;ok;csv;;;+34 636 01 47 60;17;;http://dekorinex.es;https://dekorinex.es/contacto/;https://presupuestos.nico-soto.es/demo/dekorinex;dekorinex;bdae009f-938f-4d52-b865-de5cb0accb22
30;Incoval Reformas Integrales;7.0;info@incoval.es;ok;csv;;;+34 612 42 79 48;15;;https://www.incoval.es;https://incoval.es/contacto/;https://presupuestos.nico-soto.es/demo/incoval;incoval;3c77644c-0d99-460b-9b14-18b424406304
31;Renovat Reformas;9.0;info@reformasrenovat.com;ok;csv;;;+34 677 47 41 53;146;;http://www.reformasrenovat.com;https://www.reformasrenovat.com/;https://presupuestos.nico-soto.es/demo/renovat-reformas;renovat-reformas;4deeaca4-f30f-4e85-9f75-f8320eb2aa4e
32;Reformas y Pintores Nico;8.5;pintoresnico@gmail.com;personal;csv;;;+34 642 00 48 61;535;;https://xn--reformaypintoresnicoespaa-woc.com;https://xn--reformaypintoresnicoespaa-woc.com/es;https://presupuestos.nico-soto.es/demo/reformas-pintores-nico;reformas-pintores-nico;33fb8855-a5de-47a6-90b8-724306a4e656
33;Mestre Reformas;8.5;info@mestrereformas.com;ok;csv;;;+34 681 25 29 23;30;;https://www.mestrereformas.com;https://www.mestrereformas.com/contacto/;https://presupuestos.nico-soto.es/demo/mestre-reformas;mestre-reformas;20588c8a-f446-45af-a3a9-9cc47081d78b
34;Reformas Villa;8.0;;FALTA;;;;+34 633 25 40 76;71;;http://www.reformasvilla.com;https://www.reformasvilla.com/contacto/;https://presupuestos.nico-soto.es/demo/reformas-villa;reformas-villa;9017e502-f515-4df7-82b8-7ae16ab57870
35;Macamon Reformas Integrales;7.5;macamoncho@gmail.com;personal;csv;;;+34 690 94 02 28;80;;http://macamoncho.es;https://macamoncho.es/presupuestos/;https://presupuestos.nico-soto.es/demo/macamon-reformas;macamon-reformas;4b931d92-4ad1-4b81-a237-c367c8aa4fa5
36;Hidro2 Grup;7.5;info@hidro2grup.com;ok;csv;;;+34 627 87 67 07;63;;https://www.hidro2grup.com;https://www.hidro2grup.com/contacto/;https://presupuestos.nico-soto.es/demo/hidro2-grup;hidro2-grup;64b8dd65-ab88-46e4-93e7-aa5c97d5c181
37;Estil Nou Miravet;7.5;;FALTA;;;;+34 650 40 88 34;48;;https://estilnoumiravet.com;https://wa.me/34650408834;https://presupuestos.nico-soto.es/demo/estil-nou-miravet;estil-nou-miravet;a7ae9011-6d45-469b-a0e4-7113e0601924
38;Reformas Antoine;7.5;nikolaytsverkov@gmail.com;personal;csv;;;+34 624 35 93 64;125;;https://reformasytrasterosantuine.com;https://reformasytrasterosantuine.com/es;https://presupuestos.nico-soto.es/demo/reformas-antoine;reformas-antoine;9859d6ee-f41f-4c8c-9af5-3a512d2c19a8
39;Reformas integrales Cuinex;7.5;info@cuinexreformas.es;ok;csv;;;+34 962 40 32 85;110;;http://www.cuinexreformas.es;https://www.cuinexreformas.es/contacto;https://presupuestos.nico-soto.es/demo/cuinex;cuinex;642d0b17-af33-44cb-851b-6628a95835f2
40;Jesbal Habitatge;7.0;info@jesbalhabitatge.es;ok;csv;;;+34 685 14 85 61;51;;https://jesbalhabitatge.es;https://jesbalhabitatge.es/contacto/;https://presupuestos.nico-soto.es/demo/jesbal-habitatge;jesbal-habitatge;e3d434dc-e1d0-4435-9e8c-ae6530f34f53
41;Gytech group;7.0;info@gytechgroup.com;ok;csv;;;+34 688 35 76 86;14;;https://gytechgroup.com;https://gytechgroup.com/contacto/;https://presupuestos.nico-soto.es/demo/gytech-group;gytech-group;7097155a-973c-4927-ac49-e4a0dadb3c75
42;Construcciones y Reformas Génesis;6.5;contacto@reformasgenesis.com.es;ok;csv;;;+34 604 26 10 14;15;;http://www.reformasgenesis.com.es;https://www.reformasgenesis.com.es/;https://presupuestos.nico-soto.es/demo/reformas-genesis;reformas-genesis;21386ddb-aee5-4e84-85a3-9209029a52c1
43;Reformas y Proyectos Sacaber;6.5;sacaber@hotmail.com;personal;csv;;;+34 615 61 42 80;20;;http://sacaber.com;http://sacaber.com/contacto;https://presupuestos.nico-soto.es/demo/sacaber;sacaber;424af978-1636-428b-8989-b2ffe9033a70
44;Construcciones y Reformas Ramírez Castañeda;6.5;ramirezcastanedasl@gmail.com;personal;csv;;;+34 615 85 93 07;19;;http://xn--construccionesyreformasramirezcastaedasl-n2d.es;https://www.xn--construccionesyreformasramirezcastaedasl-n2d.es/contactanos;https://presupuestos.nico-soto.es/demo/ramirez-castaneda;ramirez-castaneda;15b61acc-f235-4149-930d-b270b34fe05e
45;Multiservicios AM Levante;6.5;multiserviciosam375@gmail.com;personal;csv;;;+34 623 26 65 67;18;;http://www.multiserviciosamlevante.es;https://www.multiserviciosamlevante.es/contactanos;https://presupuestos.nico-soto.es/demo/multiservicios-am-levante;multiservicios-am-levante;0d60485a-9c0a-48fd-9404-83ab28bac964
46;Ecerotres Arquitectos;6.5;estudio@ecerotresarquitectos.com;ok;csv;;;+34 680 72 36 44;56;;https://ecerotresarquitectos.com;https://ecerotresarquitectos.com/contacto/;https://presupuestos.nico-soto.es/demo/ecerotres;ecerotres;7854cfbf-aa70-497f-9eb4-066130b346b1
47;extraMURS Arquitectura;6.5;info@extramurs.com;ok;csv;;;+34 960 64 84 20;28;;https://extramurs.com;https://extramurs.com/contacto/;https://presupuestos.nico-soto.es/demo/extramurs;extramurs;4b88a3fc-ae16-43e5-869b-8e9084991272
48;Proyecta Lara;6.5;comercial@proyectalara.es;ok;csv;;;+34 960 17 00 78;25;;https://proyectalara.es;https://proyectalara.es/;https://presupuestos.nico-soto.es/demo/proyecta-lara;proyecta-lara;742a2f3c-7f0c-44fd-80ca-2f56525e36f0
49;Construcciones OLBE;6.5;info@construccionesoliver.es;REVISAR-dominio;csv;;;+34 653 13 02 87;13;;https://www.construccionesolbe.com;https://construccionesolbe.com/;https://presupuestos.nico-soto.es/demo/construcciones-olbe;construcciones-olbe;123e0cbb-1fb2-4c85-9410-901a39d3e425
50;Construcciones y Reformas Clurjor;6.5;info@clurjor.com;ok;csv;;;+34 961 51 33 07;13;;http://www.clurjor.com;http://clurjor.com/contacto/;https://presupuestos.nico-soto.es/demo/clurjor;clurjor;a3891144-6436-4da0-850d-a5b41a50842d
51;NCA Interiores;6.5;administracion@ncainteriores.es;ok;csv;;;+34 962 01 09 54;13;;https://ncainteriores.es;https://ncainteriores.es/contacto/;https://presupuestos.nico-soto.es/demo/nca-interiores;nca-interiores;24a9cc77-bc8b-4bcc-b83d-27bb308c8932
52;Obralis;6.5;;FALTA;;;;+34 960 73 02 72;8;;https://obralis.es;https://obralis.es/contacto/;https://presupuestos.nico-soto.es/demo/obralis;obralis;027a3de7-6369-4b1e-97f7-14f8509bf2ac
53;Mesform Interiorismo;6.0;info@mesform.es;ok;csv;;;+34 617 85 08 27;24;;http://mesform.es;https://www.mesform.es/contactame/;https://presupuestos.nico-soto.es/demo/mesform;mesform;f91f8b62-c4d3-4c3b-98a9-6ba6882d2441
54;Tres i Tres Interiorismo;6.0;info@3itres.com;ok;csv;;;+34 658 07 03 01;20;;http://3itres.com;https://3itres.com/contacto/;https://presupuestos.nico-soto.es/demo/tres-i-tres;tres-i-tres;dc0eb71f-4008-4909-bc5c-56bc15ccbdc5
55;Reformas Escrivá Sanjuan;6.0;comercial@escrivasanjuan.com;ok;csv;;;+34 607 64 14 32;14;;http://www.escrivasanjuan.com;https://escrivasanjuan.com/contacto;https://presupuestos.nico-soto.es/demo/escriva-sanjuan;escriva-sanjuan;04c36dd0-f52a-478c-9ca7-34d0de1ac174
56;M&A Instaladores;6.0;tecnicoacustermic@gmail.com;personal;csv;;;+34 632 08 49 45;13;;https://myainstaladores.com;https://myainstaladores.com/contacto/;https://presupuestos.nico-soto.es/demo/mya-instaladores;mya-instaladores;ca3bf261-45f1-4edd-b6ce-79cdc28885f1
57;Vimoa;6.0;vicente@vimoa.es;ok;csv;;;+34 617 56 74 75;8;;http://www.vimoa.es;https://vimoa.es/contacto;https://presupuestos.nico-soto.es/demo/vimoa;vimoa;2704b854-3d24-4c85-b8f5-de5f7abe78c9
58;DLUXE Solutions · Reformas en Oliva;6.0;info@reformasenoliva.es;ok;csv;;;+34 679 37 36 75;6;;https://reformasenoliva.es;https://reformasenoliva.es/;https://presupuestos.nico-soto.es/demo/dluxesolutions;dluxesolutions;2eefba71-02c8-4b46-83a2-e73b1a331bce
59;Construcciones y Reformas Salvicar;5.5;salvicar@ono.com;personal;csv;;;+34 610 54 75 94;14;;http://www.salvicar.com;https://reformas.salvicar.com/contacto/;https://presupuestos.nico-soto.es/demo/salvicar;salvicar;0c58644f-0116-4e46-ad06-68d3b229318f
60;ObraEstil;5.5;obraestil@gmail.com;personal;csv;;;+34 669 42 39 58;9;;http://www.obraestil.es;https://obraestil.es/contact/;https://presupuestos.nico-soto.es/demo/obraestil;obraestil;a8407e76-79fe-47e3-9607-bf2606d06b94
61;Reformas Blancor;9.0;info@reformasblancor.es;ok;csv;;;+34 911 13 47 11;174;;https://reformasblancor.es;https://reformasblancor.es/presupuesto-para-reforma-integral-en-madrid/;https://presupuestos.nico-soto.es/demo/reformas-blancor;reformas-blancor;f23a6325-ea25-4e72-9943-b3578c01a3c1
62;Varada Reformas;9.0;info@varada.es;ok;base;;;+34 916 56 78 90;163;;https://varada.es;https://varada.es/;https://presupuestos.nico-soto.es/demo/varada;varada;13d3859a-cbcb-4a64-94f4-6f732f29f294
63;Raynadecor;9.0;info@raynadecor.es;ok;csv;;;+34 912 62 34 02;126;;https://raynadecor.es;https://raynadecor.es/contacto/;https://presupuestos.nico-soto.es/demo/raynadecor;raynadecor;c06ca762-dddd-4a58-b0e1-6009e80ccf38
64;Construcciones J.D.M.;9.0;construccionesj.d.m@hotmail.com;personal;base;;;+34 667 81 02 95;122;;https://construccionesjdm.com;https://construccionesjdm.com/contacto/;https://presupuestos.nico-soto.es/demo/construcciones-jdm;construcciones-jdm;2201dad4-78d1-444b-9f65-85527f6581fa
65;Reformas Integrales Areal;9.0;arealsl@arealsl.es;REVISAR-dominio;csv;;;+34 916 11 47 83;83;;https://reformasintegralesareal.es;https://reformasintegralesareal.es/contacto-reformas-integral-madrid;https://presupuestos.nico-soto.es/demo/reformas-areal;reformas-areal;5cae6df2-948d-47b6-8013-7971aa1c8fba
66;Quality Reform;8.5;info@qualityreform.com;ok;base;;;+34 643 85 91 35;136;;https://qualityreform.com;http://qualityreform.com/contacto/;https://presupuestos.nico-soto.es/demo/quality-reform;quality-reform;6eab606f-ef70-4c76-837f-8abd436c32b6
67;Iasa Design;8.5;contacto@iasadesign.com;ok;csv;;;+34 916 66 12 02;132;;https://www.iasadesign.com;https://www.iasadesign.com/contacto/;https://presupuestos.nico-soto.es/demo/iasa-design;iasa-design;186474ef-e91d-474a-9576-5883d478fb30
68;Reformas Foydecor;8.5;foydecor@gmail.com;personal;csv;;;+34 916 46 51 26;120;;https://foydecor.com;https://foydecor.com/contacto/;https://presupuestos.nico-soto.es/demo/foydecor;foydecor;df7c346b-a753-4083-ad1d-e2194c493d0f
69;Reformas El Baúl;8.5;elbaul@reformaselbaul.com;ok;csv;;;+34 916 47 71 52;112;;https://www.reformaselbaul.com;https://www.reformaselbaul.com/contacto/;https://presupuestos.nico-soto.es/demo/reformas-el-baul;reformas-el-baul;91094e67-12f8-40cb-995f-413c0d3aa486
70;Reformas AlcoMad;8.5;contacto@reformasalcomad.es;ok;csv;;;+34 910 72 00 92;86;;https://www.reformasalcomad.es;https://www.reformasalcomad.es/;https://presupuestos.nico-soto.es/demo/reformas-alcomad;reformas-alcomad;50eb7e6e-8271-4a18-b20a-8608b69e0a4d
71;Reformas Marian;8.5;hola@reformasmarian.es;ok;csv;;;+34 691 16 13 29;79;;https://reformasmarian.es;https://reformasmarian.es/contacto/;https://presupuestos.nico-soto.es/demo/reformas-marian;reformas-marian;36946e29-6c4c-4dff-9716-1f8cc1328354
72;Support Home;8.5;servicios@supporthome.es;ok;csv;;;+34 667 93 95 11;78;;https://supporthome.es;https://supporthome.es/contacto/;https://presupuestos.nico-soto.es/demo/support-home;support-home;3c006bfe-ffe2-4d59-a27b-0aff42e69c4e
73;Remacen Reparaciones;8.5;reformasmadridcentro@gmail.com;personal;csv;;;+34 601 23 84 93;69;;https://www.reformasmadridcentro.com;https://www.reformasmadridcentro.com/contacto;https://presupuestos.nico-soto.es/demo/remacen;remacen;9abf52df-0090-4f0d-9d10-df758a274221
74;Reformas Vegam;8.5;roniegio9@hotmail.com;personal;base;;;+34 659 20 10 03;67;;https://www.reformasvegam.es;https://www.reformasvegam.es/contacto;https://presupuestos.nico-soto.es/demo/reformas-vegam;reformas-vegam;5a57cef9-75bb-4bf3-bcf4-ce791fe3748c
75;Grupo León Reformas;8.5;grupoleon.gerencia.getafe@gmail.com;personal;csv;;;+34 633 06 33 88;66;;https://grupoleonreformas.com;https://grupoleonreformas.com/contacto/;https://presupuestos.nico-soto.es/demo/grupo-leon-reformas;grupo-leon-reformas;7f2f0aa5-b8ac-4960-a9ea-ce9ffa123390
